id,code,name,account_type,reconcile,group_id
account.101401,101401,Bank - Main Operating Account,asset_cash,True,assets.current_assets.bank
account.101402,101402,Bank Suspense Account,asset_current,True,assets.current_assets
account.101501,101501,Cash on Hand,asset_cash,True,assets.current_assets.bank
account.101502,101502,Petty Cash - Office,asset_cash,True,assets.current_assets.bank
account.101503,101503,Petty Cash - PRO Services,asset_cash,True,assets.current_assets.bank
account.104004,104004,ENBD Bank Account 903,asset_cash,True,assets.current_assets.bank
account.110100,110100,Accounts Receivable - Trade,asset_receivable,True,assets.current_assets.receivable
account.110200,110200,Other Receivables,asset_current,False,assets.current_assets
account.110300,110300,Staff Advances,asset_current,True,assets.current_assets
account.110400,110400,Allowance for Doubtful Debts (contra),asset_current,False,assets.current_assets.contra
account.120100,120100,Stock Valuation,asset_current,False,assets.current_assets.inventory
account.120200,120200,Work in Progress,asset_current,False,assets.current_assets.inventory
account.130100,130100,Prepaid Expenses,asset_current,False,assets.current_assets.prepayments
account.130200,130200,Prepaid Insurance,asset_current,False,assets.current_assets.prepayments
account.130300,130300,Prepaid Rent,asset_current,False,assets.current_assets.prepayments
account.130400,130400,VAT Recoverable,asset_current,False,assets.current_assets.tax
account.130500,130500,Deposits and Advances,asset_current,False,assets.current_assets
account.151000,151000,Fixed Assets - Cost,asset_non_current,False,assets.fixed_assets.ppe
account.151100,151100,Office Equipment,asset_non_current,False,assets.fixed_assets.ppe
account.151200,151200,Computer Equipment,asset_non_current,False,assets.fixed_assets.ppe
account.151300,151300,Furniture & Fixtures,asset_non_current,False,assets.fixed_assets.ppe
account.151400,151400,Vehicles,asset_non_current,False,assets.fixed_assets.ppe
account.151500,151500,Accumulated Depreciation - PPE (contra),asset_non_current,False,assets.fixed_assets.contra
account.160100,160100,Software & Licenses,asset_non_current,False,assets.fixed_assets.intangibles
account.160200,160200,Accumulated Amortization - Intangibles (contra),asset_non_current,False,assets.fixed_assets.contra
account.200100,200100,Accounts Payable - Trade,liability_payable,True,liabilities.current
account.200200,200200,Accrued Expenses,liability_current,False,liabilities.current
account.200300,200300,Accrued Salaries,liability_current,False,liabilities.current
account.200400,200400,Other Payables,liability_current,False,liabilities.current
account.210100,210100,Bank Overdraft,liability_current,False,liabilities.current
account.210200,210200,Short-term Loans,liability_current,False,liabilities.current
account.220100,220100,VAT Payable,liability_current,False,liabilities.current.tax
account.220200,220200,Corporate Tax Payable,liability_current,False,liabilities.current.tax
account.220300,220300,Withholding Tax Payable,liability_current,False,liabilities.current.tax
account.301000,301000,Authorized Share Capital,equity,False,equity
account.301100,301100,Issued Share Capital,equity,False,equity
account.301200,301200,Share Premium,equity,False,equity
account.401000,401000,Real Estate Brokerage Commission,income,False,income.operating
account.401100,401100,Exclusive White Label - Agency,income,False,income.operating
account.401200,401200,Exclusive White Label - Business Partners,income,False,income.operating
account.401300,401300,Exclusive White Label - Dedicated Staff,income,False,income.operating
account.401400,401400,External Business Revenue,income,False,income.operating
account.501000,501000,Commission Expenses,expense_direct_cost,False,expense.cogs
account.501100,501100,COGS - Exclusive White Label,expense_direct_cost,False,expense.cogs
account.501200,501200,COGS - External Business,expense_direct_cost,False,expense.cogs
account.600100,600100,Salaries and Wages,expense,False,expense.staff
account.610100,610100,Office Rent,expense,False,expense.admin
account.620100,620100,Advertising and Promotion,expense,False,expense.marketing
account.640100,640100,Interest Expense,expense,False,expense.finance
account.650100,650100,Depreciation - PPE,expense,False,expense.depreciation